DataCode,RecType,RecYear,PlotID,Treatment,Spnum,Genus,Species,Abundance
PPL01,1,2002,8,N2P2,40,amorpha,canescens,1.25
PPL01,1,2002,8,N2P2,55,asclepias,verticillata,1.25
PPL01,1,2002,8,N2P2,58,aster,ericoides,22.5
PPL01,1,2002,8,N2P2,92,linum,sulcatum,0.25
PPL01,1,2002,9,N1P2,11,eragrostis,spectabilis,2
PPL01,1,2002,9,N1P2,123,senecio,plattensis,0.25
PPL01,1,2002,9,N1P2,125,sisyrinchium,campestre,0.25
PPL01,1,2002,9,N1P2,14,dichanthelium,oligosanthes,0.5
PPL01,1,2002,9,N1P2,17,poa,pratensis,8.75
PPL01,1,2002,9,N1P2,18,sorghastrum,nutans,35
PPL01,1,2002,9,N1P2,2,andropogon,gerardii,32.5
PPL01,1,2002,9,N1P2,21,sporobolus,asper,1
PPL01,1,2002,9,N1P2,3,andropogon,scoparius,55
PPL01,1,2002,9,N1P2,33,carex,heliophila,7
PPL01,1,2002,9,N1P2,34,carex,meadii,1.25
PPL01,1,2002,9,N1P2,4,bouteloua,curtipendula,5
PPL01,1,2002,9,N1P2,40,amorpha,canescens,1.75
PPL01,1,2002,9,N1P2,49,antennaria,neglecta,0.25
PPL01,1,2002,9,N1P2,55,asclepias,verticillata,0.25
PPL01,1,2002,9,N1P2,58,aster,ericoides,11.25
PPL01,1,2002,9,N1P2,86,kuhnia,eupatorioides,1.25
PPL01,1,2002,10,N2P2,11,eragrostis,spectabilis,0.75
PPL01,1,2002,10,N2P2,120,ruellia,humilis,1.5
PPL01,1,2002,10,N2P2,123,senecio,plattensis,0.25
PPL01,1,2002,10,N2P2,124,silene,antirrhina,0.25
PPL01,1,2002,10,N2P2,125,sisyrinchium,campestre,0.25
PPL01,1,2002,10,N2P2,128,solidago,missouriensis,14.25
PPL01,1,2002,10,N2P2,14,dichanthelium,oligosanthes,1.25
PPL01,1,2002,10,N2P2,17,poa,pratensis,10
PPL01,1,2002,10,N2P2,18,sorghastrum,nutans,30
PPL01,1,2002,10,N2P2,2,andropogon,gerardii,23.75
PPL01,1,2002,10,N2P2,21,sporobolus,asper,0.25
PPL01,1,2002,10,N2P2,3,andropogon,scoparius,65
PPL01,1,2002,10,N2P2,33,carex,heliophila,5.25
PPL01,1,2002,10,N2P2,34,carex,meadii,1
PPL01,1,2002,10,N2P2,4,bouteloua,curtipendula,8.25
PPL01,1,2002,10,N2P2,55,asclepias,verticillata,0.5
PPL01,1,2002,10,N2P2,58,aster,ericoides,7
PPL01,1,2002,10,N2P2,59,aster,oblongifolius,2.75
PPL01,1,2002,10,N2P2,76,echinacea,angustifolia,0.25
PPL01,1,2002,10,N2P2,86,kuhnia,eupatorioides,0.75
PPL01,1,2002,10,N2P2,92,linum,sulcatum,0.5
PPL01,1,2002,11,N1P3,12,koeleria,pyramidata,2.5
PPL01,1,2002,11,N1P3,120,ruellia,humilis,2.25
PPL01,1,2002,11,N1P3,124,silene,antirrhina,0.25
PPL01,1,2002,11,N1P3,125,sisyrinchium,campestre,0.75
PPL01,1,2002,11,N1P3,128,solidago,missouriensis,8
PPL01,1,2002,11,N1P3,14,dichanthelium,oligosanthes,2.75
PPL01,1,2002,11,N1P3,17,poa,pratensis,2.75
PPL01,1,2002,11,N1P3,18,sorghastrum,nutans,25
PPL01,1,2002,11,N1P3,2,andropogon,gerardii,15
PPL01,1,2002,11,N1P3,21,sporobolus,asper,0.75
PPL01,1,2002,11,N1P3,3,andropogon,scoparius,65
PPL01,1,2002,11,N1P3,33,carex,heliophila,5.25
PPL01,1,2002,11,N1P3,34,carex,meadii,6
PPL01,1,2002,11,N1P3,4,bouteloua,curtipendula,17.5
PPL01,1,2002,11,N1P3,40,amorpha,canescens,6.25
PPL01,1,2002,11,N1P3,46,ambrosia,psilostachya,0.25
PPL01,1,2002,11,N1P3,55,asclepias,verticillata,0.5
PPL01,1,2002,11,N1P3,58,aster,ericoides,3.25
PPL01,1,2002,11,N1P3,59,aster,oblongifolius,25
PPL01,1,2002,11,N1P3,76,echinacea,angustifolia,0.25
PPL01,1,2002,11,N1P3,92,linum,sulcatum,0.5
PPL01,1,2002,12,N1P2,106,dalea,candida,3.25
PPL01,1,2002,12,N1P2,11,eragrostis,spectabilis,0.75
PPL01,1,2002,12,N1P2,12,koeleria,pyramidata,3.25
PPL01,1,2002,12,N1P2,120,ruellia,humilis,1.5
PPL01,1,2002,12,N1P2,125,sisyrinchium,campestre,0.25
PPL01,1,2002,12,N1P2,128,solidago,missouriensis,1.5
PPL01,1,2002,12,N1P2,14,dichanthelium,oligosanthes,1.5
PPL01,1,2002,12,N1P2,17,poa,pratensis,2.75
PPL01,1,2002,12,N1P2,18,sorghastrum,nutans,40
PPL01,1,2002,12,N1P2,2,andropogon,gerardii,29.25
PPL01,1,2002,12,N1P2,21,sporobolus,asper,9
PPL01,1,2002,12,N1P2,3,andropogon,scoparius,41.25
PPL01,1,2002,12,N1P2,33,carex,heliophila,10.75
PPL01,1,2002,12,N1P2,34,carex,meadii,2.25
PPL01,1,2002,12,N1P2,4,bouteloua,curtipendula,5.25
PPL01,1,2002,12,N1P2,46,ambrosia,psilostachya,0.25
PPL01,1,2002,12,N1P2,5,bouteloua,gracilis,0.75
PPL01,1,2002,12,N1P2,55,asclepias,verticillata,1.5
PPL01,1,2002,12,N1P2,58,aster,ericoides,11.25
PPL01,1,2002,12,N1P2,59,aster,oblongifolius,4.25
PPL01,1,2002,12,N1P2,83,hieracium,longipilum,0.25
PPL01,1,2002,12,N1P2,92,linum,sulcatum,0.75
PPL01,1,2002,13,N2P3,11,eragrostis,spectabilis,1.25
PPL01,1,2002,13,N2P3,12,koeleria,pyramidata,0.25
PPL01,1,2002,13,N2P3,122,schrankia,nuttallii,9.5
PPL01,1,2002,13,N2P3,125,sisyrinchium,campestre,0.25
PPL01,1,2002,13,N2P3,128,solidago,missouriensis,3.5
PPL01,1,2002,13,N2P3,137,triodanis,perfoliata,0.25
PPL01,1,2002,13,N2P3,14,dichanthelium,oligosanthes,2.75
PPL01,1,2002,13,N2P3,17,poa,pratensis,3.5
PPL01,1,2002,13,N2P3,18,sorghastrum,nutans,15.75
PPL01,1,2002,13,N2P3,2,andropogon,gerardii,45
PPL01,1,2002,13,N2P3,21,sporobolus,asper,1.25
PPL01,1,2002,13,N2P3,216,euphorbia,serpens,0.25
PPL01,1,2002,13,N2P3,3,andropogon,scoparius,21.25
PPL01,1,2002,13,N2P3,33,carex,heliophila,1.75
PPL01,1,2002,13,N2P3,34,carex,meadii,1.25
PPL01,1,2002,13,N2P3,4,bouteloua,curtipendula,3.5
PPL01,1,2002,13,N2P3,40,amorpha,canescens,6.75
PPL01,1,2002,13,N2P3,58,aster,ericoides,2.5
PPL01,1,2002,13,N2P3,60,aster,sericeus,3
PPL01,1,2002,14,N1P3,106,dalea,candida,0.5
PPL01,1,2002,14,N1P3,111,physalis,pumila,0.5
PPL01,1,2002,14,N1P3,12,koeleria,pyramidata,0.25
PPL01,1,2002,14,N1P3,120,ruellia,humilis,0.25
PPL01,1,2002,14,N1P3,14,dichanthelium,oligosanthes,1.25
PPL01,1,2002,14,N1P3,17,poa,pratensis,7
PPL01,1,2002,14,N1P3,18,sorghastrum,nutans,4.5
PPL01,1,2002,14,N1P3,2,andropogon,gerardii,32.5
PPL01,1,2002,14,N1P3,21,sporobolus,asper,0.25
PPL01,1,2002,14,N1P3,3,andropogon,scoparius,52.5
PPL01,1,2002,14,N1P3,33,carex,heliophila,1.5
PPL01,1,2002,14,N1P3,34,carex,meadii,2
PPL01,1,2002,14,N1P3,4,bouteloua,curtipendula,3.25
PPL01,1,2002,14,N1P3,40,amorpha,canescens,8
PPL01,1,2002,14,N1P3,58,aster,ericoides,6.25
PPL01,1,2002,14,N1P3,59,aster,oblongifolius,0.75
PPL01,1,2002,14,N1P3,86,kuhnia,eupatorioides,0.75
PPL01,1,2002,15,N1P3,128,solidago,missouriensis,4.5
PPL01,1,2002,15,N1P3,14,dichanthelium,oligosanthes,3.75
PPL01,1,2002,15,N1P3,17,poa,pratensis,5.75
PPL01,1,2002,15,N1P3,18,sorghastrum,nutans,15
PPL01,1,2002,15,N1P3,2,andropogon,gerardii,23.75
PPL01,1,2002,15,N1P3,21,sporobolus,asper,0.5
PPL01,1,2002,15,N1P3,3,andropogon,scoparius,56.25
PPL01,1,2002,15,N1P3,33,carex,heliophila,3.5
PPL01,1,2002,15,N1P3,34,carex,meadii,0.75
PPL01,1,2002,15,N1P3,4,bouteloua,curtipendula,5.75
PPL01,1,2002,15,N1P3,49,antennaria,neglecta,1.25
PPL01,1,2002,15,N1P3,55,asclepias,verticillata,0.25
PPL01,1,2002,15,N1P3,58,aster,ericoides,5.75
PPL01,1,2002,15,N1P3,86,kuhnia,eupatorioides,2.5
PPL01,1,2002,16,N2P1,12,koeleria,pyramidata,0.25
PPL01,1,2002,16,N2P1,128,solidago,missouriensis,3.25
PPL01,1,2002,16,N2P1,14,dichanthelium,oligosanthes,1.5
PPL01,1,2002,16,N2P1,17,poa,pratensis,3.5
PPL01,1,2002,16,N2P1,18,sorghastrum,nutans,18.75
PPL01,1,2002,16,N2P1,2,andropogon,gerardii,17.5
PPL01,1,2002,16,N2P1,23,sporobolus,heterolepis,22
PPL01,1,2002,16,N2P1,3,andropogon,scoparius,22.5
PPL01,1,2002,16,N2P1,34,carex,meadii,3.75
PPL01,1,2002,16,N2P1,4,bouteloua,curtipendula,8.5
PPL01,1,2002,16,N2P1,40,amorpha,canescens,2.5
PPL01,1,2002,16,N2P1,55,asclepias,verticillata,0.25
PPL01,1,2002,16,N2P1,58,aster,ericoides,0.75
PPL01,1,2002,16,N2P1,59,aster,oblongifolius,4.25
PPL01,1,2002,16,N2P1,65,baptisia,australis,3.75
PPL01,1,2002,16,N2P1,76,echinacea,angustifolia,0.75
PPL01,1,2002,16,N2P1,92,linum,sulcatum,0.25
PPL01,1,2002,16,N2P1,93,lithospermum,incisum,0.25
PPL01,1,2002,17,N2P2,109,dalea,purpurea,1.25
PPL01,1,2002,17,N2P2,120,ruellia,humilis,1.5
PPL01,1,2002,17,N2P2,124,silene,antirrhina,0.25
PPL01,1,2002,17,N2P2,128,solidago,missouriensis,1.25
PPL01,1,2002,17,N2P2,13,muhlenbergia,cuspidata,5.75
PPL01,1,2002,17,N2P2,14,dichanthelium,oligosanthes,3.25
PPL01,1,2002,17,N2P2,17,poa,pratensis,5
PPL01,1,2002,17,N2P2,18,sorghastrum,nutans,9.25
PPL01,1,2002,17,N2P2,2,andropogon,gerardii,27.5
PPL01,1,2002,17,N2P2,21,sporobolus,asper,1.25
PPL01,1,2002,17,N2P2,3,andropogon,scoparius,36.25
PPL01,1,2002,17,N2P2,33,carex,heliophila,3.25
PPL01,1,2002,17,N2P2,34,carex,meadii,1.5
PPL01,1,2002,17,N2P2,4,bouteloua,curtipendula,7.5
PPL01,1,2002,17,N2P2,40,amorpha,canescens,1.5
PPL01,1,2002,17,N2P2,46,ambrosia,psilostachya,0.5
PPL01,1,2002,17,N2P2,58,aster,ericoides,10.75
PPL01,1,2002,17,N2P2,59,aster,oblongifolius,10
PPL01,1,2002,17,N2P2,76,echinacea,angustifolia,1.25
PPL01,1,2002,17,N2P2,86,kuhnia,eupatorioides,1.25
PPL01,1,2002,17,N2P2,92,linum,sulcatum,0.75
PPL01,1,2002,17,N2P2,93,lithospermum,incisum,0.5
PPL01,1,2002,18,N1P2,120,ruellia,humilis,0.75
PPL01,1,2002,18,N1P2,124,silene,antirrhina,0.5
PPL01,1,2002,18,N1P2,128,solidago,missouriensis,3
PPL01,1,2002,18,N1P2,137,triodanis,perfoliata,0.25
PPL01,1,2002,18,N1P2,14,dichanthelium,oligosanthes,2
PPL01,1,2002,18,N1P2,17,poa,pratensis,7.5
PPL01,1,2002,18,N1P2,18,sorghastrum,nutans,16.25
PPL01,1,2002,18,N1P2,2,andropogon,gerardii,35
PPL01,1,2002,18,N1P2,21,sporobolus,asper,2.25
PPL01,1,2002,18,N1P2,3,andropogon,scoparius,33.75
PPL01,1,2002,18,N1P2,33,carex,heliophila,3
PPL01,1,2002,18,N1P2,34,carex,meadii,4.75
PPL01,1,2002,18,N1P2,4,bouteloua,curtipendula,4.5
PPL01,1,2002,18,N1P2,46,ambrosia,psilostachya,1.75
PPL01,1,2002,18,N1P2,58,aster,ericoides,4.5
PPL01,1,2002,18,N1P2,59,aster,oblongifolius,6.25
PPL01,1,2002,18,N1P2,61,astragalus,crassicarpus,1.25
PPL01,1,2002,18,N1P2,66,baptisia,bracteata,17.5
PPL01,1,2002,19,N1P3,106,dalea,candida,0.75
PPL01,1,2002,19,N1P3,12,koeleria,pyramidata,1
PPL01,1,2002,19,N1P3,120,ruellia,humilis,0.5
PPL01,1,2002,19,N1P3,128,solidago,missouriensis,4.5
PPL01,1,2002,19,N1P3,137,triodanis,perfoliata,0.25
PPL01,1,2002,19,N1P3,14,dichanthelium,oligosanthes,0.5
PPL01,1,2002,19,N1P3,16,dichanthelium,acuminatum,0.75
PPL01,1,2002,19,N1P3,17,poa,pratensis,4.5
PPL01,1,2002,19,N1P3,18,sorghastrum,nutans,8.75
PPL01,1,2002,19,N1P3,2,andropogon,gerardii,66.25
PPL01,1,2002,19,N1P3,3,andropogon,scoparius,43.75
PPL01,1,2002,19,N1P3,33,carex,heliophila,8
PPL01,1,2002,19,N1P3,34,carex,meadii,10
PPL01,1,2002,19,N1P3,4,bouteloua,curtipendula,1.5
PPL01,1,2002,19,N1P3,40,amorpha,canescens,5.25
PPL01,1,2002,19,N1P3,58,aster,ericoides,1
PPL01,1,2002,19,N1P3,92,linum,sulcatum,0.5
PPL01,1,2002,20,N1P1,12,koeleria,pyramidata,0.75
PPL01,1,2002,20,N1P1,120,ruellia,humilis,1.25
PPL01,1,2002,20,N1P1,125,sisyrinchium,campestre,0.5
PPL01,1,2002,20,N1P1,137,triodanis,perfoliata,0.25
PPL01,1,2002,20,N1P1,14,dichanthelium,oligosanthes,3.25
PPL01,1,2002,20,N1P1,17,poa,pratensis,5.75
PPL01,1,2002,20,N1P1,18,sorghastrum,nutans,26.25
PPL01,1,2002,20,N1P1,2,andropogon,gerardii,71.25
PPL01,1,2002,20,N1P1,21,sporobolus,asper,2.25
PPL01,1,2002,20,N1P1,3,andropogon,scoparius,21.25
PPL01,1,2002,20,N1P1,33,carex,heliophila,3.5
PPL01,1,2002,20,N1P1,34,carex,meadii,11.75
PPL01,1,2002,20,N1P1,36,cyperus,lupulinus,0.25
PPL01,1,2002,20,N1P1,4,bouteloua,curtipendula,11.25
PPL01,1,2002,20,N1P1,40,amorpha,canescens,13.75
PPL01,1,2002,21,N2P3,106,dalea,candida,0.25
PPL01,1,2002,21,N2P3,11,eragrostis,spectabilis,3
PPL01,1,2002,21,N2P3,111,physalis,pumila,0.25
PPL01,1,2002,21,N2P3,120,ruellia,humilis,0.25
PPL01,1,2002,21,N2P3,127,solidago,canadensis,0.25
PPL01,1,2002,21,N2P3,14,dichanthelium,oligosanthes,2.5
PPL01,1,2002,21,N2P3,17,poa,pratensis,2
PPL01,1,2002,21,N2P3,18,sorghastrum,nutans,21.25
PPL01,1,2002,21,N2P3,2,andropogon,gerardii,9.25
PPL01,1,2002,21,N2P3,3,andropogon,scoparius,86.25
PPL01,1,2002,21,N2P3,31,carex,brevior,0.75
PPL01,1,2002,21,N2P3,33,carex,heliophila,7
PPL01,1,2002,21,N2P3,34,carex,meadii,4.5
PPL01,1,2002,21,N2P3,4,bouteloua,curtipendula,7
PPL01,1,2002,21,N2P3,40,amorpha,canescens,8
PPL01,1,2002,21,N2P3,49,antennaria,neglecta,0.75
PPL01,1,2002,21,N2P3,58,aster,ericoides,3
PPL01,1,2002,21,N2P3,92,linum,sulcatum,0.5
PPL01,1,2002,22,N1P3,109,dalea,purpurea,0.25
PPL01,1,2002,22,N1P3,12,koeleria,pyramidata,0.75
PPL01,1,2002,22,N1P3,121,salvia,azurea,0.5
PPL01,1,2002,22,N1P3,128,solidago,missouriensis,2.5
PPL01,1,2002,22,N1P3,14,dichanthelium,oligosanthes,0.25
PPL01,1,2002,22,N1P3,17,poa,pratensis,10
PPL01,1,2002,22,N1P3,18,sorghastrum,nutans,23.75
PPL01,1,2002,22,N1P3,2,andropogon,gerardii,80
PPL01,1,2002,22,N1P3,21,sporobolus,asper,1.25
PPL01,1,2002,22,N1P3,23,sporobolus,heterolepis,11.25
PPL01,1,2002,22,N1P3,3,andropogon,scoparius,21.25
PPL01,1,2002,22,N1P3,33,carex,heliophila,11
PPL01,1,2002,22,N1P3,34,carex,meadii,1.75
PPL01,1,2002,22,N1P3,4,bouteloua,curtipendula,3.25
PPL01,1,2002,22,N1P3,40,amorpha,canescens,1.75
PPL01,1,2002,22,N1P3,58,aster,ericoides,0.25
PPL01,1,2002,22,N1P3,59,aster,oblongifolius,15
PPL01,1,2002,23,N1P1,111,physalis,pumila,0.25
PPL01,1,2002,23,N1P1,128,solidago,missouriensis,0.75
PPL01,1,2002,23,N1P1,14,dichanthelium,oligosanthes,2.25
PPL01,1,2002,23,N1P1,17,poa,pratensis,5.25
PPL01,1,2002,23,N1P1,18,sorghastrum,nutans,13.75
PPL01,1,2002,23,N1P1,2,andropogon,gerardii,41.25
PPL01,1,2002,23,N1P1,21,sporobolus,asper,0.25
PPL01,1,2002,23,N1P1,23,sporobolus,heterolepis,12.5
PPL01,1,2002,23,N1P1,3,andropogon,scoparius,50
PPL01,1,2002,23,N1P1,33,carex,heliophila,7
PPL01,1,2002,23,N1P1,34,carex,meadii,2.75
PPL01,1,2002,23,N1P1,4,bouteloua,curtipendula,5
PPL01,1,2002,23,N1P1,40,amorpha,canescens,0.75
PPL01,1,2002,23,N1P1,55,asclepias,verticillata,0.75
PPL01,1,2002,23,N1P1,58,aster,ericoides,7
PPL01,1,2002,23,N1P1,60,aster,sericeus,1.5
PPL01,1,2002,23,N1P1,92,linum,sulcatum,0.25
PPL01,1,2002,24,N2P3,11,eragrostis,spectabilis,3.75
PPL01,1,2002,24,N2P3,12,koeleria,pyramidata,2
PPL01,1,2002,24,N2P3,128,solidago,missouriensis,0.75
PPL01,1,2002,24,N2P3,137,triodanis,perfoliata,0.25
PPL01,1,2002,24,N2P3,14,dichanthelium,oligosanthes,0.5
PPL01,1,2002,24,N2P3,17,poa,pratensis,10
PPL01,1,2002,24,N2P3,18,sorghastrum,nutans,25
PPL01,1,2002,24,N2P3,2,andropogon,gerardii,25
PPL01,1,2002,24,N2P3,21,sporobolus,asper,2.5
