Site,Date,Region,Quadrat,Off Quadrat (incl. dead mussel shells),Unsure,Bare Rock,sediment/diatom,Heterosiphonia,Euthora cristata,Modiolus ,"pink coralline, smooth",Phycodrys fimbriata,Ptilota serrata,Palmaria palmata,Chondrus crispus,Balanus spp.,Halichondria,"pink coralline, bumpy",Mytilus edulis,branched hydroid,Aplidium pallidum,Bugula,Hildenbrandia,Schizomavella,Polysiphonia,Dendrobeania,Bottryloides (orange),Lomentaria orcadensis,Corallina officinalis,Ulva lactuca,Didemnum albidum,Terebratulina,Dendrodoa carnea,chondrus mat,Parasmittina,Bottryloides (gray),cactus sea squirt,Aplidium constellatum,Gonactinia,Isodictya (sponge),Gracilaria,Anomia,Crepidula,Tonicella (chiton),Leucoselenia (sponge),Molgula (tunicate; sea grape),Halisarca,Diplosoma,brown Didemnum,Unknown orange ascidian,Unknown Bryozoan,Unknown Yellow Sponge
Lunging Island,6/11/15,Onshore,Q12,34,0,0,12,54,26,0,0,3,0,1,28,1,0,30,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q13,63,0,0,6,57,35,0,0,0,6,1,13,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q14,52,0,0,2,60,29,0,0,0,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q15,46,0,0,7,12,40,0,0,10,1,1,63,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q16,30,0,0,8,54,30,0,1,0,37,0,26,0,0,2,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q17,46,0,0,13,8,18,0,0,0,1,13,65,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q18,45,0,0,17,36,26,0,0,1,3,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q19,26,0,0,9,87,34,0,0,1,9,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q20,55,0,0,15,56,20,0,0,3,5,1,22,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q21,27,0,0,4,18,47,0,0,3,17,3,57,0,0,0,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q22,42,0,0,21,41,21,0,1,0,0,6,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q23,66,0,0,4,5,36,0,1,0,7,30,34,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q24,48,0,0,8,23,28,0,1,0,1,3,59,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q25,51,0,0,2,14,29,0,0,24,1,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q26,80,0,0,2,20,40,0,0,1,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q27,39,0,0,2,15,59,0,0,4,11,0,59,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q28,21,0,0,11,19,40,0,0,0,3,1,94,0,0,5,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lunging Island,6/11/15,Onshore,Q29,34,0,0,4,12,22,0,0,0,0,1,72,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,7,0,0,0
Lunging Island,6/11/15,Onshore,Q30,34,0,0,40,23,14,0,25,0,6,0,32,0,0,1,0,0,0,3,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,8,0,0,0
Lunging Island,6/11/15,Onshore,Q31,29,0,0,31,27,30,0,7,2,0,0,50,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q1,52,0,0,3,109,13,7,3,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q2,19,0,0,2,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q3,65,0,0,5,102,9,0,13,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q4,18,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q5,32,0,0,1,147,11,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q6,50,0,0,4,130,9,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q7,63,0,0,1,97,15,7,0,7,3,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q8,26,0,0,3,71,22,4,0,16,0,4,0,1,0,1,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Spout Shoal,6/10/15,Onshore,Q9,76,0,0,0,97,18,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q10,57,0,0,0,123,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q11,151,0,0,0,43,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q12,61,0,0,0,70,30,0,0,28,3,0,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q13,53,0,0,6,131,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q14,120,0,0,2,54,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q15,190,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q16,62,0,0,8,88,4,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q17,79,0,0,4,99,1,2,4,0,0,5,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q18,43,0,0,5,146,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q19,37,0,0,8,119,7,3,1,6,5,0,1,0,4,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q20,15,0,0,5,175,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q21,20,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q22,36,0,0,0,156,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q23,52,0,0,1,132,1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spout Shoal,6/10/15,Onshore,Q24,20,0,0,0,169,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q1,58,0,0,36,50,3,0,21,0,1,8,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q2,58,0,0,43,57,3,0,15,0,0,8,4,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q3,101,0,0,26,42,2,0,12,0,1,8,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q4,73,0,0,28,29,7,0,21,0,3,15,4,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q5,72,0,0,39,36,16,0,4,0,5,15,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q6,68,0,0,47,25,13,0,10,0,0,14,4,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q7,69,0,0,58,22,7,0,9,0,0,18,4,3,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q8,77,0,0,49,33,3,0,6,0,0,11,1,3,0,0,0,0,1,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q9,72,0,0,56,26,2,0,15,0,0,6,0,3,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q10,57,0,0,56,31,1,0,9,0,4,10,2,14,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q11,95,0,0,55,23,1,0,1,0,3,2,1,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q12,28,0,0,98,53,5,0,3,0,0,3,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q13,48,0,0,48,25,18,0,2,0,3,18,4,0,0,3,0,0,0,5,14,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q14,21,0,0,44,29,17,0,18,0,12,17,4,0,0,0,0,0,0,2,10,0,0,0,2,0,0,0,4,0,1,0,2,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q15,31,0,0,77,0,6,0,16,0,3,3,0,0,0,24,0,0,0,0,15,0,0,0,0,0,0,0,4,0,2,8,4,0,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0
Star Island,6/6/15,Onshore,Q16,99,0,0,20,30,15,0,0,0,3,3,7,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q17,80,0,0,31,21,48,0,0,2,1,1,7,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q18,64,0,0,22,33,30,0,0,7,8,6,10,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q19,78,0,0,7,36,43,0,0,0,7,5,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q20,68,0,0,13,30,46,0,0,0,4,0,26,0,0,3,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q21,65,0,0,36,29,7,0,4,0,0,21,17,1,0,14,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q22,40,0,0,59,14,4,0,9,0,0,19,30,0,0,9,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q23,81,0,0,35,46,0,0,0,0,0,12,6,0,0,10,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Star Island,6/6/15,Onshore,Q24,79,0,0,12,30,7,0,2,6,0,22,15,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q1,74,0,0,1,52,4,0,0,16,2,35,7,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q2,63,0,0,10,60,9,0,22,12,2,1,2,0,2,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Mingo Rock,6/12/15,Onshore,Q3,42,0,0,8,22,6,0,17,26,2,8,3,1,1,8,0,2,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q4,114,0,0,6,45,9,0,1,15,1,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q5,98,0,0,5,56,20,0,3,1,3,0,3,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q6,102,0,0,13,34,1,0,21,0,0,0,0,0,0,20,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Mingo Rock,6/12/15,Onshore,Q7,86,0,0,10,14,30,0,0,20,17,2,1,0,2,6,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q8,70,0,0,9,35,17,0,6,17,15,2,0,0,1,0,0,0,1,0,20,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q9,91,0,0,9,24,4,0,0,43,0,0,6,0,0,12,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q10,51,0,0,8,42,23,0,0,19,12,1,1,0,2,32,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q11,34,0,0,9,35,26,0,0,64,4,4,1,0,2,3,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q12,47,0,0,5,99,3,0,0,14,0,27,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q13,69,0,0,2,23,29,0,0,67,1,3,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q14,57,0,0,2,15,6,0,0,18,0,31,1,0,34,8,0,9,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,1,0,0,0
Mingo Rock,6/12/15,Onshore,Q15,45,0,0,9,29,17,0,5,44,0,5,2,1,6,10,0,4,12,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q16,41,0,0,9,34,39,0,23,0,2,5,0,0,7,8,0,5,4,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q17,33,0,0,3,67,9,0,0,25,0,10,0,1,2,12,0,6,11,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Mingo Rock,6/12/15,Onshore,Q18,112,0,0,4,37,7,0,0,9,1,0,2,0,3,8,0,2,1,0,4,0,0,6,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q19,103,0,0,3,27,27,0,0,22,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/11/11,Onshore,Q20,59,20,0,8,22,29,0,1,36,3,3,2,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mingo Rock,6/11/11,Onshore,Q21,43,0,0,3,17,3,0,2,18,0,35,6,0,26,11,0,7,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/11/11,Onshore,Q22,33,0,0,6,30,14,0,1,28,1,13,8,0,5,21,0,11,0,0,4,0,0,11,0,0,0,0,0,0,0,0,4,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/11/11,Onshore,Q23,32,0,0,8,21,34,0,0,18,3,23,0,0,5,14,0,12,0,1,0,0,0,13,0,0,0,0,0,0,0,1,1,0,0,10,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q24,37,0,0,17,30,28,0,10,23,2,3,1,0,0,7,0,6,0,0,0,0,0,26,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q25,40,0,0,7,25,28,0,18,41,5,3,1,0,1,3,0,3,5,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q26,34,0,0,8,13,20,0,1,43,2,6,2,0,1,28,0,7,6,2,2,0,0,17,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q27,38,0,0,15,40,16,0,0,42,0,8,2,2,2,12,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q28,42,0,0,4,14,14,0,0,84,0,13,2,0,0,3,0,2,2,11,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q29,47,0,0,3,36,46,0,1,40,1,3,0,0,0,5,0,5,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
Mingo Rock,6/12/15,Onshore,Q30,77,0,0,2,34,16,0,3,21,0,7,0,0,3,15,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
